timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T11:58:26.293759,train,severstal,181,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.345040,train,severstal,182,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.403090,train,severstal,183,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.459601,train,severstal,184,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.521984,train,severstal,185,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.571668,train,severstal,186,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.621814,train,severstal,187,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.703071,train,severstal,188,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.753891,train,severstal,189,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.809010,train,severstal,190,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.858603,train,severstal,191,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.911498,train,severstal,192,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.975647,train,severstal,193,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.028407,train,severstal,194,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.105313,train,severstal,195,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.158588,train,severstal,196,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.209216,train,severstal,197,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.266475,train,severstal,198,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.327660,train,severstal,199,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.378589,train,severstal,200,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.428642,train,severstal,201,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.487951,train,severstal,202,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.543211,train,severstal,203,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.600855,train,severstal,204,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.650988,train,severstal,205,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.700338,train,severstal,206,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.752688,train,severstal,207,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.810051,train,severstal,208,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.863217,train,severstal,209,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.917074,train,severstal,210,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:27.967298,train,severstal,211,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.022848,train,severstal,212,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.073197,train,severstal,213,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.161518,train,severstal,214,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.213754,train,severstal,215,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.268786,train,severstal,216,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.320692,train,severstal,217,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.380220,train,severstal,218,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.437509,train,severstal,219,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.496707,train,severstal,220,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.556760,train,severstal,221,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.611332,train,severstal,222,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.671919,train,severstal,223,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:28.730260,train,severstal,224,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
